artist.name,terms,release.name
Rickie Lee Jones,folk rock,Live at Red Rocks
Cece Winans,ccm,Alone In His Presence
Sofia Karlsson,chanson,Folk Songs
Backstreet Boys,teen pop,Black & Blue
Mystic Rhythms Band,chant,Music For Dancing
Epitaph,kraut rock,Epitaph
Rodney O_ Joe Cooley,miami bass,The Best of Rodney O and Joe Cooley
Jerry Goldsmith,soundtrack,L.A. Confidential
Alexis HK,chanson,L'homme Du Moment
Steve Erquiaga,smooth jazz,The Bach Variations
Robert Palmer,blue-eyed soul,Double Fun
Sigmatropic,post rock,Dark Outside
Neon Blonde,pop rock,Chandeliers In The Savannah
Soul Ballet,smooth jazz,LAViSH
Milk Inc.,dance pop,Double Cream
Korn,rap metal,I KNOW WHAT YOU DID LAST SUMMER THE ALBUM
Mario Piu',hard house,Communication (Remix)
Joy Division,alternative,Let The Movie Begin
Bob Crosby,chanson,1937/40 Broadcasts
The Frantic,hard house,Audio & Murder
Ruffneck,deep house,Ma Motivation
Devo,rock,Q: Are We Not Men?  A: We Are Devo / Devo Live
Sofia Karlsson,chanson,SAPder Om KA$?rleken
The Perrys,christian music,Hits & Hymns Volume II
Shirley Caesar,symphony,He's Working It Out For You
The Jets,freestyle,Back to Back - Atlantic Starr & The Jets
Dolce; Orange Factory,folk-pop,Fire
Rihanna,dance pop,Music Of The Sun
Tin Hat Trio,chamber jazz,Helium
DJ Nasty,bass music,Tha Remixes Vol. 19
Bill & Gloria Gaither,country gospel,Turn Your Radio On
Angelo Badalamenti,chill-out,Mulholland Drive
Venice,folk-pop,More Than One Love
Tommy Torres,reggaeton,Pegadito
Kanye West,hip hop,808s & Heartbreak
Smash Palace,power pop,Fast_ Long_ Loud
Natural Elements,hip hop,1999: 10 Year Anniversary
Dakis,greek,Moments
Dave Brockie Experience,shock rock,Songs For The Wrong
Emotion Code,trance,Mesmerise the Future
Debbie Davies,blues-rock,Round Every Corner
Matisyahu,reggae,Live at Stubb's
Bow Wow Wow,dance rock,Girl Bites Dog_ Your Compact Disc Pet
Der Plan,experimental rock,Live At The Tiki Ballroom...
Sergio Franchi,ballad,The Heart Of Christmas
Ashton Shepherd,country rock,Sounds So Good
Janet Paschal,southern gospel,The Good Road
Lonnie Brooks,blues-rock,Sweet Home Chicago (Paris 1975) (Blues Reference)
I Wayne,roots reggae,Lava Ground
Roy Rogers,western swing,Ride Ranger Ride
Jazzy B,bhangra,Romeo
Les Ogres De Barback,chanson,Terrain vague
Coffinberry,heartland rock,God Dam Dogs
Janitor Joe,math rock,Big Metal Birds
Young-Holt Unlimited,soul jazz,Born Again
Charlie Peacock,ccm,Kingdom Come
Brent Lamb,country gospel,Right Now It's Raining
George Lopez,california,Right Now Right Now
Rokia TraorA(c),afrobeat,TchamantchA(c)
Vodka Collins,glam rock,Boy's Life
Mastodon,alternative metal,Leviathan
Joe Rogan,comedy,Talking Monkeys In Space
Brenda Boykin,nu jazz,Music For Cocktails - Fashion Show
Tom Cochrane,heartland rock,Mad Mad World
Erik Berglund,folk-pop,Angelic Harp Music
Red Hot Chili Peppers,rap rock,Freaky Styley
James Newton Howard,instrumental pop,The Happening
Faith Yang,singer-songwriter,Self-Selected
Roger Reynolds,serialism,Process And Passion
Toots Thielemans,latin jazz,Only Trust Your Heart
SOJA,roots reggae,Soldiers of Jah Army
Jim Reeves,country gospel,RCA  Country Legends
The Del McCoury Band,bluegrass,It's Just The Night
Les Hou-Lops,freakbeat,"Tout ira trA""s bien"
Ketty DB,eurodance,Spacer
Jeff And Sheri Easter,southern gospel,Sittin' On Cloud Nine
Sonic Subjunkies,jungle music,Live At The Suicide Club
Gov't Mule,jam band,By a Thread
Ray Conniff,instrumental pop,Happiness Is
Sir Douglas Quintet,blues-rock,The Complete Mercury Masters
Michelle Tumes,ccm,Center Of My Universe
Major Lance,neo soul,The Very Best Of Major Lance
Bad Azz,gangster rap,Money Run
Kitty Wells,honky tonk,Wings Of Angels
Defect & Quixotic,turnablism,Return Of The DJ 5.5 Optimized
Mario Rosenstock,irish,Gift 2
Rockin' Dopsie_ Jr.,zydeco,Ultimate Mardi Gras
Static-X,industrial metal,Beneath...Between...Beyond...
She Satellites,future jazz,Poison Lips
Saman,folk metal,Koocheyeh Khatereh
Smart Alex,progressive house,Produced & Remixed
OutKast,dirty south rap,Southernplayalisticadillacmuzik
Michael Jackson,motown,Michael Jackson: The Ultimate Collection
Bukka White,delta blues,Sky Songs
AFS,hardcore punk,Mother's Day
Jim Reeves,country gospel,Legends
Wet Wet Wet,blue-eyed soul,Weightless
Tsar,freestyle,Band-Girls-Money
Martin Sexton,blue-eyed soul,Camp Holiday
Elliot Goldenthal,instrumental rock,Titus - Original Motion Picture Soundtrack
Dave Valentin,latin jazz,Primitive Passions
Casual,hip hop,Truck Driver
Jimmy Burns,soul blues,Back To The Delta
"Claire ElziA""re",indie,La vie va si vite (Live)
Dino,ccm,Quiet Time
Luke Vibert,trip hop,Mate Tron
Ice,dub,Darkest Light
Spiral Stairs,indie rock,The Real Feel
Rea_ Chris,soft rock,The Road To Hell Part 2
Scar Symmetry,death metal,Pitch Black Progress
Tito Puente,salsa,Mamborama
Silverchair,post-grunge,Freak Show
Willie Bobo,latin jazz,Willie Bobo's Finest Hour
Lifehouse,post-grunge,Lifehouse
Carlos Ponce,male vocalist,La Historia
Ricardo Arjona,latin,Solo
Tyrone Wells,folk-pop,Hold On
B.B. King,blues-rock,Hurricane Relief: Come Together Now
John Sebastian,folk rock,Tarzana Kid
Andre Verchuren,chanson,Tango Pour Madameon
Scar Symmetry,death metal,Holographic Universe
Concretes,pop rock,Hey Trouble
Izzy Stradlin And The Ju Ju Hounds,blues-rock,Izzy Stradlin And The Ju Ju Hounds
Don Campbell,pop rap,Reggae Hits Vol. 35
David Lynch,jazz fusion,Good Wood
Cotton Candy,cabaret,Top-Notch & First-Rate
Frank Marino & Mahogany Rush,blues-rock,Tales Of The Unexpected
John Wayne,dancehall,1985 Sleng Teng Extravaganza
The Incurables,heartland rock,Fade
Bert Kaempfert,easy listening,Orange Colored Sky
H-Town,new jack swing,Imitations Of Life
Voyager Series,irish folk,Celtic Harp
JERRY WALLACE,doo-wop,Jerry Wallace's King Of The Mountain
Beenie Man Featuring Janet Jackson,dancehall,Feel It Boy
Georges Brassens,chanson,Georges Brassens-N 4
Morgion,sludge metal,Morgion
4Him,ccm,The Basics Of Life
Wild Horses,outlaw country,Rolling Stones Instrumental Renditions
David Meece,ccm,David
Freddie King,texas blues,King Of The Blues
Danny Wilson,british pop,Bebop Moptop
Malefaction,grindcore,Crush The Dream
Jope Ruonansuu,parody,Kaikkien aikojen parhaat -45 klassikkoa - Aattelepa ite
Marcie Blane,doo-wop,Bobby's Girl - The Complete Seville Recordings
Charlie Walker,honky tonk,Charlie Walker's ''T'' For Texas
Slum Village,hip hop,Fantastic Vol. 2.10
Twista,gangster rap,The Black Jason Of Rap
Francis Dunnery,singer-songwriter,Hometown 2001
Perrey And Kingsley,easy listening,The Out Sound From Way In!
Youves,dance-punk,Cardio-Vascular
Maurice Larcange,chanson,Joue Legrand & Becaud
Mau Mau,progressive house,Made In Italy
Cats In Boots,glam metal,Kicked And Klawed
Firehouse,glam metal,Firehouse
The Panic Channel,post-grunge,(ONe)
Chris Standring,smooth jazz,Groovalicious
El Gran Silencio,cumbia,Super Riddim Internacional Volumen 1
Ismael DueA+-as,nu jazz,Diversions
The Galactic Heroes,twee pop,How About San Francisco?
FU-Schnickens,comedy rap,Greatest Hits
Sonny Terry & Brownie McGhee,piedmont blues,Sonny Terry & Brownie McGhee_ Vol. B (1941)
Bad Azz,gangster rap,Personal Business (Explicit)
AnanA(c),deep house,ANANASWORLD
Rocker-T,dub,If Yu Luv Luv Show Ya Luv
Ana Popovic,blues-rock,Still Making History
BA(c)zu,chanson,Maxi danses 59 titres
Baby D,breakbeat,Garage Classics Volume II Summer Edition
Gertrudis,big beat,Teta
Emilio,tejano,It's On The House
Lunasicc,gangster rap,A Million Words A Million Dollars
Juelz Santana / Bezel,rap,What The Game's Been Missing!
The Fontane Sisters,europop,Rock 'n' Roll Heaven - The Ultimate Collection - 125 Original Recordings
Tiny Tim,cabaret,Tip Toe Throught The Tulips
The Cure,new wave,The Cure - Greatest Hits (Deluxe Sound & Vision) PAL
I Nuovi Angeli,celtic fusion,I Nuovi Angeli Cantaitalia
Jean-Jacques Goldman,chanson,Live 98 En Passant
Eddie Turner,blues-rock,Rise
Joshua Rifkin,ragtime,Scott Joplin Piano Rags
Art Blakey's Jazz Messengers,bebop,Art Blakey's Jazz Messengers_ Lausanne 1960 Part 2 / Swiss Radio Days_ Jazz Series Vol.6
Paul Glazby,hard house,Beautiful
White Heart,ccm,Righteous Rock: Classic Christian Hair Bands
Barbara Lusch,jazz,Barbara Lusch
Patti Smith,rock,Gone Again
Saga,hard rock,Remember When - The very Best of Saga
Gary Hobbs,tejano,30 Del Recuerdo
Vrse Murphy,dj,Martini Breaks
C.C. Adcock,zydeco,Lafayette Marquis_ The
John Mayall & The Bluesbreakers,blues-rock,Plays John Mayall (Live At Klooks Kleek)
The Fabulous Thunderbirds,blues-rock,Hot Stuff: The Greatest Hits
2 Minutos,skate punk,Novedades
Michelle Tumes,ccm,Your Love Broke Through
Luke Bryan,country rock,Doin' My Thing
Thriller U,lovers rock,Whip Me Volume 1
Alex,new beat,Meraviglioso
Rocio Jurado,bulerias,Canta A Mexico
Lennie Tristano,free jazz,Lennie Tristano Quintet - Live In Toronto 1952
Dead Kennedys,rock,Punk of Anagram
R.L. Burnside,delta blues,Mr. Wizard
Cut Copy,alternative dance,Bright Like Neon Love
Tim Wilson,filk,Church League Softball Fistfight
Salt The Wound,death core,Carnal Repercussions
The Cars,new wave,The Squid And The Whale
Van Halen,heavy metal,The Best Of Both Worlds
De La Soul / MF Doom,hip hop,The Grind Date
Shriekback,alternative dance,Big Night Music
At All Cost,post-hardcore,Shattered Dreams and Bourgeois Schemes
Mississippi Mass Choir,gospel,God Gets The Glory
Utopia,new beat,RA
The Ruby Suns,experimental rock,The Ruby Suns
Schoolyard Heroes,horror punk,I Want Your Soul For Christmas
Malkit Singh,broken beat,Up Front
Mannheim Steamroller,instrumental pop,Christmasville
Wolfmother,stoner metal,Dane Cook's Tourgasm Soundtrack
John Tchicai,free jazz,Anybody Home?
Suicidal Tendencies,hardcore punk,The Art Of Rebellion
Bert Kaempfert,easy listening,Two In One - That Latin Feeling/Tropical Sunrise
ColdWorld,black metal,MelancholieA2
The Chap,future jazz,Well Done Europe
David Banner,crunk,Mississippi-The Album
The Rapture,alternative dance,Pieces Of The People We Love
Paul Cantelon,folk rock,The Other Boleyn Girl
Ice,dub,The Saga
Richard Lloyd,garage rock,Alchemy
Adam Ant,pop rock,The Very Best Of
June Hutton,space age pop,Songs From 'By The Light Of The Silvery Moon' and Other Selections
Rainbow,heavy metal,The Best Of Rainbow
Marc Et Claude,trip hop,La
Leroy Hutson,jazz funk,Leroy Hutson Selected Hits Vol. 2
Pee Wee Crayton,texas blues,The Modern Legacy
FlA$?skkvartetten / ThAY=strAPm,art rock,Voices of Eden
Gabinete Caligari,pop rock,4 Rosas Y Que Dios Reparta Suerte
Marc Perrone,musette,Les p'tites chansons de Marc Perrone
Ancient Astronauts,trip hop,We Are To Answer
Basic Channel,techno,Radiance
Symphony in Peril,christian hardcore,The Whore's Trophy
Usher,hip hop,Dance Workout Classics; Keep Fit With The Hottest Hits & Remixes
Greg Vaccariello,stand-up comedy,I Do Things
Wailing Souls,roots reggae,Best of Thompson Sound Vol 2 The 80s
J.C. Lodge,lovers rock,Love For All Seasons
Mike Brooks,roots reggae,Sounds & Pressure Vol. 3
Kathy Mattea,bluegrass,Songs Of The Civil War
This Moment,math rock,This Moment
Varios,electroclash,Luis de Pablo - Zurezko olerkia (Poema de madera)
The Fabulous Thunderbirds,blues-rock,WALK THAT WALK_ TALK THAT TALK
The Perrys,christian music,Crossings
Small Faces,rock 'n roll,Ultimate Collection
Enter the Haggis,celtic rock,Let The Wind Blow High
The Chi-Lites,disco,The Chi-Lites Selected Hits
George Lopez,california,Right Now Right Now
Jerry Lewis,rock steady,Very Best Of
Stephen Marley / Damian Marley,roots reggae,Mind Control
Charlie Khan,cabaret,How We Divide the Cake
Red I Flight,death core,The Years
White Heart,ccm,Emergency Broadcast
Jo-El Sonnier,bluegrass,Here to Stay
Steinski,hip hop,What Does It All Mean? - 1983-2006 Retrospective
Chuck Wicks,country,Starting Now
Yahir,brutal death metal,Otra historia de amor
Lexi,broken beat,Dial Me
Cali,dance pop,L'espoir
Tommy Sands,rockabilly,Sing Boy Sing
BeyoncA(c),hip hop,Irreemplazable
DJ Harry,trip hop,Collision
Babbie Mason,ccm,Isn't That Just Like God (Studio Track)
Rated R,breakbeat,Da Ghetto Psychic
Diamanda Galas,no wave,Vena Cava
Black Eyed Peas / Terry Dexter,hip hop,Legally Blonde
Beenie Man,dancehall,Concept Of Life
Be Bop Deluxe,art rock,Futurama
Rolfe Kent,soundtrack,The Men Who Stare At Goats (Original Soundtrack)
Nu Flavor,hard house,Sprung
Maurice Chevalier,chanson,MIMI
ISRAEL & NEW BREED,ccm,Live From Another Level
P.O.D.,alternative metal,The Warriors EP_ Vol. 2
Reel Big Fish,ska punk,Fame_ Fortune_ And Fornication
Mystery,hard house,The Mystery Is Revealed
Jacques Douai,chanson,Heritage - RA(c)cital nAdeg3 & 4 - BAM (1956-1957)
Eko Fresh,pop rap,Ekaveli
Buju Banton,roots reggae,Voice Of Jamaica
Jacques Douai,chanson,Heritage - RA(c)cital NAdeg1 & 2 - BAM (1954-1955)
Bill Douglas,chamber jazz,Kaleidoscope
BeyoncA(c),hip hop,Ring The Alarm (Urban Mixes)
Alvin YoungbloodA Hart,blues-rock,Territory
Gene Chandler,chicago soul,Duke Of Earl - The Very Best Of The Vee-Jay Years
Legacy Five,country gospel,Live In Music City
The Del McCoury Band,bluegrass,The Promise Land
Christos Dantis,pop rock,Kata Vathos
Walter Jackson; Arranged & conducted by Riley Hampton,northern soul,Welcome Home / The Okeh Years
J Bostron & Beretta,jungle music,LP of the Dead
Mark Ashley,hard trance,Give a little sweet love
Cindy Morgan,ccm,Elementary
Deathstar,straight edge,We Are The Threat
Generation X,punk,BBC In Concert (1st January 1981)
Vanessa Daou,chill-out,Slow to Burn (Deluxe)
Laidback Luke & Diplo,tech house,Hey!
Joe Satriani,instrumental rock,G3 Live:  Rockin' in the Free World
Steve Vai,instrumental rock,Fire Garden
Burning Spear,roots reggae,Harder Than The Best
The Edgar Broughton Band,protopunk,BBC In Concert (25th February 1971)
Aleks Syntek,merengue,1989-2009
Los Del Rio,dance pop,Fiesta Macarena
Wes King,ccm,A Room Full Of Stories
Teijo Joutsela and Humppa-Veikot,humppa,20 suosikkia / Vanhan kartanon kehrA$?A$?vA$? rukki
Moon Mullican,western swing,Broken Dreams
Jefferson Starship,hard rock,Windows Of Heaven
Ronny Eriksson,stand-up comedy,Hopkok
John Mayall,blues-rock,IN THE PALACE OF THE KING
Gary Moore,blues-rock,Still Got The Blues/After Hours/Blues Alive
Spiral Stairs,indie rock,The Real Feel
Attack Attack,screamo,Someday Came Suddenly
Gym Class Heroes,hip hop,As Cruel As School Children
Mighty Mighty Bosstones,ska punk,Devil's Night Out
The Booth Brothers,country gospel,The Blind Man Saw It All
Vivian Khor,meditation,Paradise
Anne Dudley,trip hop,The 10th Kingdom
The Mustangs,country rock,Nothing Stays the Same
Michael Jackson,motown,The Real Thing: The Jackson 5
Marc Shaiman,soundtrack,The Bucket List
Paul Simon,singer-songwriter,Recorded as Jerry Landis
K-OS,trip hop,B-Boy Stance
Eberhard Weber,free jazz,Pendulum
Jimmy Herring,jazz fusion,Lifeboat
The Continentals,samba,Wild Rockin' & Boppin' (X-Mas Edition)
Neil Diamond,soft rock,Hot August Nights II
The Chieftains;Colin James,irish folk,Another Country
45 Grave,deathrock,A Devil's Possessions - Demos & Live 1980-1983
Joe Turner_ Joe Houston_ L. C. Williams,jump blues,The Big Three
J.B. Lenoir,chicago blues,Passionate Blues
Screaming Jay Hawkins,rock 'n roll,I Put A Spell On You & Other Favorites (Digitally Remastered)
The Sun Harbor's Chorus-Documentary Recordings,patriotic,Patriotic music of America
Set Your Goals,pop punk,Mutiny: Deluxe Edition
Tesla,hard rock,Five Man Acoustical Jam
Charlie Rich,rockabilly,The Most Beautiful Girl
Claw Hammer,alternative rock,Claw Hammer
The Ataris,pop punk,So Long_ Astoria
Sharon Burch,folk rock,Yazzie Girl
The Field Mice,twee pop,Coastal
Taboo,new beat,The Party Album
Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas,hard bop,Once More
Koffi OlomidA(c),zouk,Loi
White Heart,ccm,The Early Years - Whiteheart
Singing Melody,dancehall,Sweet Love Vol.5
Svartthron,black metal,Kraujo Estetika
The Rolling Stones,blues,12 x 5
The Rongetz Foundation,afrobeat,One leg dancer
Kassav',zouk,Nou La
Fall Out Boy,pop punk,**** Live In Phoenix
Bob Marley & The Wailers,reggae,Man To Man
Claude FranASSois,chanson,PODIUM
Elephant Man,dancehall,Riddim Driven: Sunlight
The Cate Brothers,roots rock,Voices Of Americana: The Cate Brothers
Tracy Byrd,honky tonk,Love Lessons
Jean Segurel,chanson,Les Fiances D'Auvergne
Fran Perea,celtic,La Chica de la habitacion de al lado
Maria Muldaur,dance pop,Waitress In A Donut Shop
Santana,blues-rock,The San Mateo Sessions 1969
Mustafa Sandal,eurodance,Araba
Johannes Linstead,meditation,Zabuca
Dorothy Norwood,blues,The Lord Is A Wonder
Cinder,post-grunge,House Full Of No Trust
Fania All Stars,latin jazz,A?QuA(c) Pasa?: The Best Of The Fania All-Stars
Otis Spann,piano blues,Windy City Blues
Kool Moe Dee,hip hop,Greatest Hits
Lee Ritenour,instrumental pop,OverTime
Big John Greer,jump blues,I'm The Fat Man
Jaguares,latin pop,Cuando La Sangre Galopa
Oak Ridge Boys,classic country,Lord Is My Saviour
The Tragically Hip,roots rock,We Are The Same
Carman featuring Commissioned & The Christ Church Choir,ccm,Shakin' The House Live
Reni,pop folk,Reni 2003
Raphael,chanson,Raphael 50 AA+-os Despues
Sammi Cheng,cantonese pop,Sammi I Concert 99
Fiona,chinese music,Fiona's Moment
Cargo Cult,noise rock,Vibrant
Lord Sterling,stoner metal,Today's Song For Tomorrow
Forensics,dubstep,Hogback Mountain Sessions - Vol. 1
Gerard Lenorman,chanson,Je Vous Reparlerai d'Amour
Cama,los angeles,A Handful Of Songs
Anat Ben David,tech house,Virtual Leisure
Arturo Sandoval,latin jazz,Best Of Arturo Sandoval
Novika,deep house,Tricks Of Life
Eldar,dark ambient,Live at the Blue Note
Oldelaf et Monsieur D,los angeles,"DerniA""re Chance d'Aatre disque d'or (Edition SpA(c)ciale: nouvel album + best of 5 titres)"
Eason Chan,cantonese pop,Get A Life
The Fabulous Thunderbirds,blues-rock,The Fabulous Thunderbirds
Hey Colossus,stoner metal,Project: Death
Sonora Carruseles,salsa,Sonora Carruseles Espectacular
Eddy Raven,zydeco,20 Favorites
Finntroll,heavy metal,Jaktens Tid
Tanto Metro & Devonte,dancehall,The Beat Goes On
Bounty Killer,dancehall,Jamaica's Most Wanted
Mobb Deep featuring Nate Dogg,gangster rap,Amerikaz Nightmare
DJ Spinn and DJ Rashad,chicago house,Girl Bust Down EP
Jose Luis Perales,latin pop,Lo Mejor De JosA(c) Luis Perales
El Poder del Norte,tango,Mano A Mano
Tony Matterhorn,reggaeton,Reggae Gold 2006
Story Of The Year,screamo,The Constant [Deluxe Edition]
Brazilian Tropical Orchestra,bossa nova,Plays Caetano_ Gil e Djavan
Kisha,soft rock,Kisha
Ana Nikolic,pop folk,Ana Nikolic
Tyrone Taylor,lovers rock,Reggae Max
4 Skins,oi,Singles And Rarities
Robben Ford,blues-rock,Tiger Walk
White Heart,ccm,Whiteheart
Zapp,funk,Zapp V
Ximena Sarinana,nu jazz,Mediocre [Edicion especial]
Busta Rhymes,hip hop,It Ain't Safe No More
Fontella Bass,northern soul,Very Best Of
Rhinostar,rock,Horizonte
Old Man's Child,sympho black metal,Ill-natured Spiritual Invasion
Red Hot Chili Peppers,rap rock,Californication
Patty Griffin,folk-pop,Living With Ghosts
Satan's Host,heavy metal,Satanic Grimoire
Aeoliah,meditation,Divinaura
Eric Demarsan,smooth jazz,Le SamouraA- / Les Aventuriers
Mississippi Mass Choir,gospel,Mississippi Mass Choir Greatest Hit's
Space Opera,new beat,Space Opera II
Through the Eyes of the Dead,death core,Bloodlust
Johnny Otis,jump blues,Lovers Lane Boogie
Finest Dearest,indie rock,Finest Dearest
Jazz Gillum,chicago blues,Blues by Jazz Gillum Singing and Playing His Harmonica: With Arbee Stidham and Memphis Slim
Neema,folk-pop,The Collective_ Vol. 1
Sound 5,breakbeat,Future's Bright
